Called with a command name
Number,PID,microseconds
405,83911,32668
406,83911,67321
407,83911,30036
408,83911,2556
409,83911,4783
410,83911,25137
411,83911,9970
412,83911,3338
413,83911,6652
414,83911,10011
415,83911,7476
416,83911,32558
417,83911,67460
418,83911,32511
419,83911,67492
420,83911,32473
421,83911,67528
422,83911,32411
423,83911,67573
424,83911,32377
425,83911,32772
426,83911,9967
427,83911,10003
428,83911,28
429,83911,14851
430,83911,32343
431,83911,93
432,83911,15714
433,83911,143
434,83911,146
435,83911,170
436,83911,169
437,83911,12036
438,83911,38372
439,83911,32275
440,83911,67766
441,83911,18764
442,83911,10323
443,83911,3062
444,83911,9130
445,83911,16
446,83911,255
447,83911,6337
448,83911,307
449,83911,2958
450,83911,2967
451,83911,5670
452,83911,1336
453,83911,9986
454,83911,3341
455,83911,1768
456,83911,42
457,83911,23541
458,83911,32089
459,83911,67908
460,83911,28445
461,83911,3537
462,83911,3744
463,83911,51735
464,83911,11921
465,83911,31929
466,83911,68075
467,83911,20573
468,83911,11300
469,83911,25283
470,83911,9979
471,83911,9994
472,83911,9990
473,83911,12916
474,83911,31808
475,83911,68213
476,83911,31759
477,83911,68279
478,83911,5659
479,83911,25968
480,83911,68288
481,83911,31648
482,83911,68331
483,83911,26419
484,83911,5250
485,83911,68370
486,83911,31629
487,83911,68394
488,83911,31607
489,83911,68408
490,83911,31568
491,83911,40963
492,83911,27477
493,83911,31535
494,83911,68466
495,83911,31490
496,83911,68521
497,83911,31466
498,83911,20675
499,83911,9976
500,83911,9987
501,83911,9996
502,83911,17903
503,83911,31449
504,83911,68560
505,83911,31491
506,83911,30364
507,83911,9969
508,83911,6674
509,83911,21476
510,83911,31432
511,83911,68501
512,83911,31420
513,83911,60110
514,83911,8465
515,83911,31377
516,83911,68604
517,83911,31312
518,83911,68695
519,83911,25880
520,83911,5364
521,83911,1838
522,83911,140
523,83911,94
524,83911,15801
525,83911,143
526,83911,50042
527,83911,31201
528,83911,68834
529,83911,17530
530,83911,13001
531,83911,68891
532,83911,31075
533,83911,68925
534,83911,30574
535,83911,415
536,83911,68974
537,83911,30970
538,83911,36039
539,83911,9965
540,83911,10012
541,83911,21
542,83911,12996
543,83911,30905
544,83911,12594
545,83911,56498
546,83911,30859
547,83911,45840
548,83911,23333
549,83911,30775
550,83911,69244
551,83911,30726
552,83911,69275
553,83911,24450
554,83911,6225
555,83911,980
556,83911,27915
557,83911,9980
558,83911,9989
559,83911,16656
560,83911,3762
561,83911,30662
562,83911,69348
563,83911,30666
564,83911,69363
565,83911,30608
566,83911,69405
567,83911,30573
568,83911,69473
569,83911,30530
570,83911,28355
571,83911,3324
572,83911,6043
573,83911,15
574,83911,9966
575,83911,10013
576,83911,11130
577,83911,2191
578,83911,28281
579,83911,69526
580,83911,8679
581,83911,21755
582,83911,4833
583,83911,64776
584,83911,12555
585,83911,2611
586,83911,15224
587,83911,69630
588,83911,21693
589,83911,8675
590,83911,69639
591,83911,23068
592,83911,7256
593,83911,578
594,83911,63804
595,83911,5218
596,83911,30307
597,83911,4400
598,83911,64727
